symbol,company_name,yahoo,in_nifty50,in_nifty100,in_midcap100,in_smallcap100
MARUTI,Maruti Suzuki India Limited,MARUTI.NS,1,1,0,0
MAXHEALTH,Max Healthcare Institute Limited,MAXHEALTH.NS,1,1,0,0
MAZDOCK,Mazagon Dock Shipbuilders Limited,MAZDOCK.NS,0,1,0,0
MCX,Multi Commodity Exchange of India Limited,MCX.NS,0,0,0,1
MFSL,Max Financial Services Limited,MFSL.NS,0,0,1,0
MGL,Mahanagar Gas Limited,MGL.NS,0,0,0,1
MOTHERSON,Samvardhana Motherson International Limited,MOTHERSON.NS,0,1,0,0
MOTILALOFS,Motilal Oswal Financial Services Limited,MOTILALOFS.NS,0,0,1,0
MPHASIS,MphasiS Limited,MPHASIS.NS,0,0,1,0
MRF,MRF Limited,MRF.NS,0,0,1,0
MRPL,Mangalore Refinery and Petrochemicals Limited,MRPL.NS,0,0,0,1
MUTHOOTFIN,Muthoot Finance Limited,MUTHOOTFIN.NS,0,0,1,0
NATCOPHARM,Natco Pharma Limited,NATCOPHARM.NS,0,0,0,1
NATIONALUM,National Aluminium Company Limited,NATIONALUM.NS,0,0,1,0
NAUKRI,Info Edge (India) Limited,NAUKRI.NS,0,1,0,0
NAVINFLUOR,Navin Fluorine International Limited,NAVINFLUOR.NS,0,0,0,1
NBCC,NBCC (India) Limited,NBCC.NS,0,0,0,1
NCC,NCC Limited,NCC.NS,0,0,0,1
NESTLEIND,Nestle India Limited,NESTLEIND.NS,1,1,0,0
NEULANDLAB,Neuland Laboratories Limited,NEULANDLAB.NS,0,0,0,1
NEWGEN,Newgen Software Technologies Limited,NEWGEN.NS,0,0,0,1
NH,Narayana Hrudayalaya Ltd.,NH.NS,0,0,0,1
NHPC,NHPC Limited,NHPC.NS,0,0,1,0
NMDC,NMDC Limited,NMDC.NS,0,0,1,0
NTPC,NTPC Limited,NTPC.NS,1,1,0,0
NTPCGREEN,NTPC Green Energy Limited,NTPCGREEN.NS,0,0,1,0
NUVAMA,Nuvama Wealth Management Limited,NUVAMA.NS,0,0,0,1
NYKAA,FSN E-Commerce Ventures Limited,NYKAA.NS,0,0,1,0
OBEROIRLTY,Oberoi Realty Limited,OBEROIRLTY.NS,0,0,1,0
OFSS,Oracle Financial Services Software Limited,OFSS.NS,0,0,1,0
OIL,Oil India Limited,OIL.NS,0,0,1,0
OLAELEC,Ola Electric Mobility Limited,OLAELEC.NS,0,0,0,1
ONGC,Oil & Natural Gas Corporation Limited,ONGC.NS,1,1,0,0
PAGEIND,Page Industries Limited,PAGEIND.NS,0,0,1,0
PATANJALI,Patanjali Foods Limited,PATANJALI.NS,0,0,1,0
PAYTM,One 97 Communications Limited,PAYTM.NS,0,0,1,0
PCBL,PCBL Chemical Limited,PCBL.NS,0,0,0,1
PERSISTENT,Persistent Systems Limited,PERSISTENT.NS,0,0,1,0
PFC,Power Finance Corporation Limited,PFC.NS,0,1,0,0
PGEL,PG Electroplast Limited,PGEL.NS,0,0,0,1
PHOENIXLTD,The Phoenix Mills Limited,PHOENIXLTD.NS,0,0,1,0
PIDILITIND,Pidilite Industries Limited,PIDILITIND.NS,0,1,0,0
PIIND,PI Industries Limited,PIIND.NS,0,0,1,0
PNB,Punjab National Bank,PNB.NS,0,1,0,0
PNBHOUSING,PNB Housing Finance Limited,PNBHOUSING.NS,0,0,0,1
POLICYBZR,PB Fintech Limited,POLICYBZR.NS,0,0,1,0
POLYCAB,Polycab India Limited,POLYCAB.NS,0,0,1,0
POONAWALLA,Poonawalla Fincorp Limited,POONAWALLA.NS,0,0,0,1
POWERGRID,Power Grid Corporation of India Limited,POWERGRID.NS,1,1,0,0
POWERINDIA,Hitachi Energy India Limited,POWERINDIA.NS,0,0,1,0
PPLPHARMA,Piramal Pharma Limited,PPLPHARMA.NS,0,0,0,1
PREMIERENE,Premier Energies Limited,PREMIERENE.NS,0,0,1,0
PRESTIGE,Prestige Estates Projects Limited,PRESTIGE.NS,0,0,1,0
RADICO,Radico Khaitan Limited,RADICO.NS,0,0,0,1
RAMCOCEM,The Ramco Cements Limited,RAMCOCEM.NS,0,0,0,1
RECLTD,REC Limited,RECLTD.NS,0,1,0,0
REDINGTON,Redington Limited,REDINGTON.NS,0,0,0,1
RELIANCE,Reliance Industries Limited,RELIANCE.NS,1,1,0,0
RPOWER,Reliance Power Limited,RPOWER.NS,0,0,0,1
RVNL,Rail Vikas Nigam Limited,RVNL.NS,0,0,1,0
SAGILITY,SAGILITY LIMITED,SAGILITY.NS,0,0,0,1
SAIL,Steel Authority of India Limited,SAIL.NS,0,0,1,0
SBICARD,SBI Cards and Payment Services Limited,SBICARD.NS,0,0,1,0
SBILIFE,SBI Life Insurance Company Limited,SBILIFE.NS,1,1,0,0
SBIN,State Bank of India,SBIN.NS,1,1,0,0
SHREECEM,SHREE CEMENT LIMITED,SHREECEM.NS,0,1,0,0
